,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
68,2021-02-01,5.0,3364.56,36.21,69.23,197.41,59.61,456.44,503.31,64.85
69,2021-02-02,5.0,3204.35,56.77,98.71,197.41,62.94,348.3,420.18,116.53
70,2021-02-03,5.0,2456.67,20.79,58.26,203.13,26.23,366.07,417.06,45.09
71,2021-02-04,5.0,1708.98,3.33,28.1,180.24,20.27,343.29,375.6,16.09
72,2021-02-05,5.0,3391.27,46.94,52.09,111.58,26.94,261.69,327.98,39.52
73,2021-02-06,5.0,3524.78,49.62,37.7,150.2,31.47,287.6,331.97,65.86
74,2021-02-07,5.0,2403.26,10.62,45.24,167.37,24.32,271.22,326.92,26.09
75,2021-02-08,5.0,2750.4,38.45,37.36,203.13,32.9,309.11,365.47,25.59
76,2021-02-09,5.0,2750.4,3.55,66.49,211.72,39.58,358.84,413.72,38.0
77,2021-02-10,5.0,3952.03,39.34,72.66,243.19,52.93,483.26,554.0,127.67
78,2021-02-11,5.0,2964.02,27.94,71.97,231.74,36.24,509.56,562.68,54.21
79,2021-02-12,5.0,2643.59,23.25,67.17,220.3,22.89,404.54,469.88,32.42
80,2021-02-13,5.0,2563.48,23.02,33.93,205.99,32.42,469.21,521.28,31.67
81,2021-02-14,5.0,2563.48,20.34,42.5,220.3,30.99,357.99,405.56,73.97
82,2021-02-15,5.0,2536.77,17.21,47.98,220.3,41.49,355.42,401.56,36.99
83,2021-02-16,5.0,2964.02,29.06,69.92,197.41,53.88,422.73,475.85,99.3
84,2021-02-17,5.0,2777.1,20.56,69.92,175.95,38.62,359.4,422.53,80.05
85,2021-02-18,5.0,2216.34,9.84,43.87,205.99,33.85,350.73,385.14,27.11
86,2021-02-19,5.0,2910.61,42.02,59.63,200.27,35.76,353.48,402.78,34.96
87,2021-02-20,5.0,1842.5,8.16,32.9,200.27,51.5,346.0,377.99,30.4
88,2021-02-21,5.0,2216.34,3.74,36.67,203.13,32.9,354.71,398.11,29.13
89,2021-02-22,5.0,2510.07,2.71,49.35,197.41,36.24,385.05,408.67,39.52
90,2021-02-23,5.0,2296.45,13.19,51.41,194.55,36.72,320.71,377.77,40.03
91,2021-02-24,5.0,1682.28,5.25,38.04,205.99,30.52,223.77,253.46,26.6
92,2021-02-25,5.0,1028.06,3.55,19.71,185.97,39.1,156.72,177.91,23.31
93,2021-02-26,5.0,1014.71,2.24,24.68,188.83,35.76,124.23,142.78,24.32
94,2021-02-27,5.0,1201.63,4.69,24.68,138.76,19.55,117.56,152.35,24.83
95,2021-02-28,5.0,1054.76,3.3,22.62,143.05,33.38,93.88,148.12,28.37
96,2021-03-01,5.0,1014.71,4.02,22.96,178.81,34.33,75.41,111.17,26.35
97,2021-03-02,5.0,867.84,1.87,15.59,191.69,24.8,92.52,111.2,21.28
98,2021-03-03,5.0,2456.67,2.71,49.35,188.83,42.44,232.49,290.49,45.6
99,2021-03-04,5.0,2803.8,32.63,50.72,243.19,38.62,285.22,347.47,55.73
100,2021-03-05,5.0,2002.72,6.31,42.84,220.3,40.05,186.84,237.63,35.97
101,2021-03-06,5.0,1735.69,1.55,40.44,163.08,27.42,138.68,185.61,40.03
102,2021-03-07,5.0,2216.34,30.4,50.04,234.6,36.72,187.85,230.18,100.32
