ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-03-12,84.62662231785612,79.09863232758097,90.04849770743782,84.62662231785612,84.62662231785612,-0.20011775876584292,-0.20011775876584292,-0.20011775876584292,0.27475929720064,0.27475929720064,0.27475929720064,-0.47487705596648294,-0.47487705596648294,-0.47487705596648294,0.0,0.0,0.0,84.42650455909028
2024-03-13,84.60784273706702,78.65147192164297,89.39900828788647,84.60784273706702,84.60784273706702,-0.32369459842640647,-0.32369459842640647,-0.32369459842640647,-0.17755967369755749,-0.17755967369755749,-0.17755967369755749,-0.146134924728849,-0.146134924728849,-0.146134924728849,0.0,0.0,0.0,84.28414813864062
2024-03-14,84.58906315627792,78.97591786261582,89.85718350740486,84.58906315627792,84.58906315627792,-0.21034466225360682,-0.21034466225360682,-0.21034466225360682,-0.41872622272017784,-0.41872622272017784,-0.41872622272017784,0.20838156046657103,0.20838156046657103,0.20838156046657103,0.0,0.0,0.0,84.37871849402431
2024-03-15,84.57028357548882,79.22822423577924,90.46907390555405,84.57028357548882,84.57028357548882,0.3221543968171927,0.3221543968171927,0.3221543968171927,-0.2670282300384049,-0.2670282300384049,-0.2670282300384049,0.5891826268555976,0.5891826268555976,0.5891826268555976,0.0,0.0,0.0,84.89243797230601
2024-03-16,84.55150399469971,79.91918383659001,91.0248410660791,84.55150399469971,84.55150399469971,0.9794750446251651,0.9794750446251651,0.9794750446251651,-0.016750733640862717,-0.016750733640862717,-0.016750733640862717,0.9962257782660278,0.9962257782660278,0.9962257782660278,0.0,0.0,0.0,85.53097903932488
2024-03-17,84.53272441391061,80.93947504178574,91.35720625545594,84.53272441391061,84.53272441391061,1.7436716010232585,1.7436716010232585,1.7436716010232585,0.31475135330003934,0.31475135330003934,0.31475135330003934,1.4289202477232192,1.4289202477232192,1.4289202477232192,0.0,0.0,0.0,86.27639601493387
2024-03-18,84.51394483312151,81.53426285162996,92.11366356494071,84.51394483312151,84.51394483312151,2.1766962732787745,2.1766962732787745,2.1766962732787745,0.290554209596808,0.290554209596808,0.290554209596808,1.886142063681966,1.886142063681966,1.886142063681966,0.0,0.0,0.0,86.69064110640029
2024-03-19,84.49516525233241,81.83793924915446,92.3928624412938,84.49516525233241,84.49516525233241,2.641018470936603,2.641018470936603,2.641018470936603,0.27475929720037745,0.27475929720037745,0.27475929720037745,2.3662591737362253,2.3662591737362253,2.3662591737362253,0.0,0.0,0.0,87.13618372326901
2024-03-20,84.4763856715433,81.38578328914443,92.6133005554464,84.4763856715433,84.4763856715433,2.689606179805561,2.689606179805561,2.689606179805561,-0.17755967369815767,-0.17755967369815767,-0.17755967369815767,2.8671658535037188,2.8671658535037188,2.8671658535037188,0.0,0.0,0.0,87.16599185134886
2024-03-21,84.4576060907542,82.39816073099614,92.49594244359851,84.4576060907542,84.4576060907542,2.9675992138447054,2.9675992138447054,2.9675992138447054,-0.41872622271989357,-0.41872622271989357,-0.41872622271989357,3.386325436564599,3.386325436564599,3.386325436564599,0.0,0.0,0.0,87.4252053045989
2024-03-22,84.43882650996511,83.19178265110038,93.909239770987,84.43882650996511,84.43882650996511,3.6537920082292836,3.6537920082292836,3.6537920082292836,-0.26702823003809867,-0.26702823003809867,-0.26702823003809867,3.9208202382673827,3.9208202382673827,3.9208202382673827,0.0,0.0,0.0,88.0926185181944
2024-03-23,84.420046929176,83.5423380683928,94.55505909292465,84.420046929176,84.420046929176,4.450656682060092,4.450656682060092,4.450656682060092,-0.016750733641621652,-0.016750733641621652,-0.016750733641621652,4.4674074157017145,4.4674074157017145,4.4674074157017145,0.0,0.0,0.0,88.87070361123608
2024-03-24,84.4012673483869,84.6587882948405,94.93022784122095,84.4012673483869,84.4012673483869,5.337330764122445,5.337330764122445,5.337330764122445,0.31475135330006887,0.31475135330006887,0.31475135330006887,5.0225794108223765,5.0225794108223765,5.0225794108223765,0.0,0.0,0.0,89.73859811250934
2024-03-25,84.38248776759781,85.03742681602354,95.57479829410772,84.38248776759781,84.38248776759781,5.873181774927111,5.873181774927111,5.873181774927111,0.29055420959683514,0.29055420959683514,0.29055420959683514,5.582627565330276,5.582627565330276,5.582627565330276,0.0,0.0,0.0,90.25566954252491
2024-03-26,84.3637081868087,84.98757405432623,96.5027274377677,84.3637081868087,84.3637081868087,6.418466772311352,6.418466772311352,6.418466772311352,0.2747592972003775,0.2747592972003775,0.2747592972003775,6.143707475110975,6.143707475110975,6.143707475110975,0.0,0.0,0.0,90.78217495912004
2024-03-27,84.3449286060196,85.65452854125533,96.34252603487016,84.3449286060196,84.3449286060196,6.524344994555466,6.524344994555466,6.524344994555466,-0.17755967369836675,-0.17755967369836675,-0.17755967369836675,6.7019046682538335,6.7019046682538335,6.7019046682538335,0.0,0.0,0.0,90.86927360057506
2024-03-28,84.32614902523049,85.66622969537723,96.21303444027093,84.32614902523049,84.32614902523049,6.834573019824412,6.834573019824412,6.834573019824412,-0.4187262227204935,-0.4187262227204935,-0.4187262227204935,7.253299242544906,7.253299242544906,7.253299242544906,0.0,0.0,0.0,91.16072204505491
2024-03-29,84.30736944444139,86.45919288249718,96.90939352181518,84.30736944444139,84.30736944444139,7.526999953237973,7.526999953237973,7.526999953237973,-0.26702823003897014,-0.26702823003897014,-0.26702823003897014,7.794028183276942,7.794028183276942,7.794028183276942,0.0,0.0,0.0,91.83436939767937
2024-03-30,84.28858986365229,87.40408410742836,97.78908514658244,84.28858986365229,84.28858986365229,8.303593463273396,8.303593463273396,8.303593463273396,-0.01675073364175818,-0.01675073364175818,-0.01675073364175818,8.320344196915153,8.320344196915153,8.320344196915153,0.0,0.0,0.0,92.59218332692569
2024-03-31,84.26981028286319,88.07532476019026,98.73181394700536,84.26981028286319,84.26981028286319,9.143421389729257,9.143421389729257,9.143421389729257,0.3147513533000983,0.3147513533000983,0.3147513533000983,8.828670036429157,8.828670036429157,8.828670036429157,0.0,0.0,0.0,93.41323167259245
2024-04-01,84.25103070207409,88.20137278809064,99.04663983928288,84.25103070207409,84.25103070207409,9.6062016646792,9.6062016646792,9.6062016646792,0.2905542095967802,0.2905542095967802,0.2905542095967802,9.31564745508242,9.31564745508242,9.31564745508242,0.0,0.0,0.0,93.8572323667533
2024-04-02,84.23225112128497,88.92364154645493,99.45077186616302,84.2312231872179,84.23225112128497,10.05293939923165,10.05293939923165,10.05293939923165,0.2747592972009692,0.2747592972009692,0.2747592972009692,9.778180102030683,9.778180102030683,9.778180102030683,0.0,0.0,0.0,94.28519052051662
2024-04-03,84.21347154049589,88.96301417537137,99.63145711419281,84.17836371514953,84.21347154049589,10.035910185634304,10.035910185634304,10.035910185634304,-0.17755967369732514,-0.17755967369732514,-0.17755967369732514,10.21346985933163,10.21346985933163,10.21346985933163,0.0,0.0,0.0,94.2493817261302
2024-04-04,84.19469195970679,89.02249638569363,99.56038058841024,84.13152322436318,84.22006482453021,10.200320087671342,10.200320087671342,10.200320087671342,-0.4187262227202092,-0.4187262227202092,-0.4187262227202092,10.61904631039155,10.61904631039155,10.61904631039155,0.0,0.0,0.0,94.39501204737813
2024-04-05,84.17591237891767,89.47125126021734,100.20509145947429,84.06137401705946,84.22072781830609,10.725760988519609,10.725760988519609,10.725760988519609,-0.267028230038664,-0.267028230038664,-0.267028230038664,10.992789218558272,10.992789218558272,10.992789218558272,0.0,0.0,0.0,94.90167336743728
2024-04-06,84.15713279812857,89.82020474044336,100.82522840041909,84.0227805205025,84.248640689892,11.316193342390655,11.316193342390655,11.316193342390655,-0.0167507336413174,-0.0167507336413174,-0.0167507336413174,11.332944076031973,11.332944076031973,11.332944076031973,0.0,0.0,0.0,95.47332614051922
2024-04-07,84.13835321733949,91.13374977895172,101.35930020931184,83.97814001017146,84.27467804173465,11.952882305618164,11.952882305618164,11.952882305618164,0.31475135330024234,0.31475135330024234,0.31475135330024234,11.63813095231792,11.63813095231792,11.63813095231792,0.0,0.0,0.0,96.09123552295765
2024-04-08,84.11957363655037,90.56831849886096,101.82074275360527,83.91434244466747,84.29905456666606,12.197901233018621,12.197901233018621,12.197901233018621,0.2905542095968895,0.2905542095968895,0.2905542095968895,11.907347023421734,11.907347023421734,11.907347023421734,0.0,0.0,0.0,96.317474869569
2024-04-09,84.10079405576127,90.69230748049715,101.62712061641072,83.86388810391405,84.32268802182134,12.414722591157458,12.414722591157458,12.414722591157458,0.2747592972007065,0.2747592972007065,0.2747592972007065,12.13996329395675,12.13996329395675,12.13996329395675,0.0,0.0,0.0,96.51551664691873
2024-04-10,84.08201447497217,91.34633491638292,101.79734382813962,83.80027892457476,84.33810392921559,12.158156457263248,12.158156457263248,12.158156457263248,-0.1775596736971431,-0.1775596736971431,-0.1775596736971431,12.33571613096039,12.33571613096039,12.33571613096039,0.0,0.0,0.0,96.24017093223542
2024-04-11,84.06323489418307,90.95140260431933,101.38232468847563,83.7184393166613,84.342514686815,12.075968085564245,12.075968085564245,12.075968085564245,-0.41872622271992493,-0.41872622271992493,-0.41872622271992493,12.49469430828417,12.49469430828417,12.49469430828417,0.0,0.0,0.0,96.13920297974731
2024-04-12,84.04445531339397,91.08789631135744,102.07333016419054,83.66689385807848,84.36917154720867,12.350294082350855,12.350294082350855,12.350294082350855,-0.2670282300383579,-0.2670282300383579,-0.2670282300383579,12.617322312389213,12.617322312389213,12.617322312389213,0.0,0.0,0.0,96.39474939574482
2024-04-13,84.02567573260487,91.13851132323167,101.9642522567187,83.60311573494862,84.37983653442801,12.687589950200795,12.687589950200795,12.687589950200795,-0.01675073364116527,-0.01675073364116527,-0.01675073364116527,12.704340683841961,12.704340683841961,12.704340683841961,0.0,0.0,0.0,96.71326568280566
2024-04-14,84.00689615181575,92.22838069501248,102.48596547378312,83.54046149371824,84.4044475753984,13.071535517486193,13.071535517486193,13.071535517486193,0.3147513532996221,0.3147513532996221,0.3147513532996221,12.756784164186572,12.756784164186572,12.756784164186572,0.0,0.0,0.0,97.07843166930195
2024-04-15,83.98811657102665,91.78227943530995,102.04124301030853,83.42961879531188,84.43380378592492,13.06651259624676,13.06651259624676,13.06651259624676,0.2905542095968346,0.2905542095968346,0.2905542095968346,12.775958386649924,12.775958386649924,12.775958386649924,0.0,0.0,0.0,97.05462916727342
2024-04-16,83.96933699023755,91.51089497722575,102.23178837884811,83.35081657788113,84.45116958602378,13.038175090695367,13.038175090695367,13.038175090695367,0.27475929720044395,0.27475929720044395,0.27475929720044395,12.763415793494922,12.763415793494922,12.763415793494922,0.0,0.0,0.0,97.00751208093291
2024-04-17,83.95055740944846,90.81883383880513,102.12744483489135,83.26595823663878,84.48633837906853,12.543371712237574,12.543371712237574,12.543371712237574,-0.17755967369774323,-0.17755967369774323,-0.17755967369774323,12.720931385935318,12.720931385935318,12.720931385935318,0.0,0.0,0.0,96.49392912168604
2024-04-18,83.93177782865935,90.88417342387018,101.50635693920181,83.21937271168098,84.5310162678349,12.23175259528568,12.23175259528568,12.23175259528568,-0.41872622272008275,-0.41872622272008275,-0.41872622272008275,12.650478818005764,12.650478818005764,12.650478818005764,0.0,0.0,0.0,96.16353042394503
2024-04-19,83.91299824787026,90.6865486062699,101.56032531889869,83.09598206113785,84.57504915259841,12.287179007913146,12.287179007913146,12.287179007913146,-0.2670282300392293,-0.2670282300392293,-0.2670282300392293,12.554207237952374,12.554207237952374,12.554207237952374,0.0,0.0,0.0,96.20017725578342
2024-04-20,83.89421866708116,90.71124845543781,102.17727689756778,83.02205466317197,84.61714885469257,12.417668430602712,12.417668430602712,12.417668430602712,-0.01675073364101313,-0.01675073364101313,-0.01675073364101313,12.434419164243726,12.434419164243726,12.434419164243726,0.0,0.0,0.0,96.31188709768388
2024-04-21,83.87543908629205,90.7406390933317,101.71743711702723,82.93987085998376,84.64615381480517,12.608300916323568,12.608300916323568,12.608300916323568,0.31475135329988074,0.31475135329988074,0.31475135329988074,12.293549563023687,12.293549563023687,12.293549563023687,0.0,0.0,0.0,96.48374000261562
2024-04-22,83.85665950550295,90.81311096920824,102.14239858981121,82.84215365669542,84.67045163407225,12.424700384373196,12.424700384373196,12.424700384373196,0.2905542095967796,0.2905542095967796,0.2905542095967796,12.134146174776417,12.134146174776417,12.134146174776417,0.0,0.0,0.0,96.28135988987614
2024-04-23,83.83787992471385,90.25634738951649,101.50627552853672,82.76187960585165,84.71745249552524,12.2336103220961,12.2336103220961,12.2336103220961,0.27475929720044406,0.27475929720044406,0.27475929720044406,11.958851024895658,11.958851024895658,11.958851024895658,0.0,0.0,0.0,96.07149024680994
2024-04-24,83.81910034392475,89.66430302008476,100.98432311575067,82.7004916446529,84.7725987479111,11.592823276701518,11.592823276701518,11.592823276701518,-0.1775596736979524,-0.1775596736979524,-0.1775596736979524,11.77038295039947,11.77038295039947,11.77038295039947,0.0,0.0,0.0,95.41192362062627
2024-04-25,83.80032076313564,89.11232025871838,100.5298554348791,82.61810585532629,84.81347027312262,11.15279466459684,11.15279466459684,11.15279466459684,-0.4187262227194835,-0.4187262227194835,-0.4187262227194835,11.571520887316325,11.571520887316325,11.571520887316325,0.0,0.0,0.0,94.95311542773248
2024-04-26,83.78154118234654,89.3216757891165,100.92424192376409,82.55416367367388,84.87802982457877,11.098059363758985,11.098059363758985,11.098059363758985,-0.2670282300393288,-0.2670282300393288,-0.2670282300393288,11.365087593798313,11.365087593798313,11.365087593798313,0.0,0.0,0.0,94.87960054610554
2024-04-27,83.76276160155743,89.20136871450411,100.55694653978162,82.48414216447371,84.92635984371,11.13718270218651,11.13718270218651,11.13718270218651,-0.016750733640861003,-0.016750733640861003,-0.016750733640861003,11.153933435827373,11.153933435827373,11.153933435827373,0.0,0.0,0.0,94.89994430374394
2024-04-28,83.74398202076834,89.41419310803722,100.73584521019727,82.37912056168823,84.97102331726596,11.25567119065762,11.25567119065762,11.25567119065762,0.31475135329991016,0.31475135329991016,0.31475135329991016,10.940919837357711,10.940919837357711,10.940919837357711,0.0,0.0,0.0,94.99965321142597
2024-04-29,83.72520243997924,89.18342325635918,100.81215407329829,82.30466853444021,84.99275837249182,11.019456205844381,11.019456205844381,11.019456205844381,0.2905542095968422,0.2905542095968422,0.2905542095968422,10.72890199624754,10.72890199624754,10.72890199624754,0.0,0.0,0.0,94.74465864582362
