,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
237,2021-07-20,2.0,834.47,10.39,38.04,76.53,34.81,18.27,25.97,13.17
238,2021-07-21,4.0,854.49,9.16,38.39,84.4,36.24,26.31,32.54,8.49
239,2021-07-22,2.0,433.92,6.65,22.28,62.94,25.03,11.41,14.65,5.76
240,2021-07-23,4.0,1134.87,17.21,49.35,42.92,31.95,35.66,43.51,8.74
241,2021-07-24,3.0,600.82,8.16,28.1,75.1,25.51,22.96,28.18,7.35
242,2021-07-25,4.0,600.82,6.71,24.33,82.25,29.33,43.51,48.66,8.36
243,2021-07-26,4.0,1321.79,8.16,65.8,92.98,43.39,49.38,62.02,18.75
244,2021-07-27,5.0,774.38,7.94,41.13,108.72,37.67,82.47,91.64,9.37
245,2021-07-28,5.0,974.66,8.05,61.69,77.25,33.85,57.17,67.86,9.5
246,2021-07-29,5.0,1815.8,31.74,69.23,90.84,36.24,73.06,93.02,21.03
247,2021-07-30,3.0,1001.36,20.12,38.73,63.66,33.85,24.62,34.2,13.17
248,2021-07-31,5.0,1815.8,42.92,61.01,80.11,41.96,82.18,94.37,17.48
249,2021-08-01,5.0,807.76,6.93,46.61,49.35,27.9,56.11,65.36,10.51
250,2021-08-02,5.0,1201.63,4.3,71.29,82.97,41.49,69.54,85.02,13.17
251,2021-08-03,5.0,921.25,7.49,55.52,90.84,38.62,68.93,80.13,10.13
252,2021-08-04,5.0,3631.59,109.97,65.12,60.08,47.68,142.99,173.9,33.95
253,2021-08-05,5.0,674.25,9.61,33.59,70.1,34.33,62.67,68.07,9.63
254,2021-08-06,5.0,741.01,15.65,43.53,44.35,40.05,58.14,63.33,11.27
255,2021-08-07,5.0,694.28,16.54,36.67,97.28,48.16,71.58,77.51,6.14
256,2021-08-08,5.0,747.68,10.39,26.05,181.68,74.39,75.4,80.79,7.92
257,2021-08-09,5.0,1735.69,33.53,46.61,234.6,109.67,164.63,175.81,15.2
258,2021-08-10,5.0,1001.36,8.49,62.38,62.23,78.2,54.43,60.99,7.85
259,2021-08-11,5.0,801.09,13.75,73.34,97.28,121.12,78.41,87.26,11.27
260,2021-08-12,4.0,961.3,38.45,49.35,19.49,133.51,39.23,44.02,8.87
261,2021-08-13,5.0,1375.2,17.43,91.85,48.64,97.28,59.47,67.62,10.39
262,2021-08-14,4.0,921.25,14.98,63.75,53.64,88.69,29.32,34.47,8.11
263,2021-08-15,4.0,1028.06,19.89,58.95,50.07,63.9,25.93,32.87,10.89
264,2021-08-16,5.0,3017.43,81.36,72.66,48.64,52.45,111.73,138.26,24.83
265,2021-08-17,5.0,1001.36,19.22,56.89,84.4,51.02,81.66,92.32,10.39
266,2021-08-18,5.0,1615.52,19.22,65.12,56.51,44.35,78.62,91.71,11.53
