ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-11-25 00:00:00,4.712025000000001,4.561396895220225,5.856769184234911,4.712025000000001,4.712025000000001,0.4903383717075893,0.4903383717075893,0.4903383717075893,0.22055205000104933,0.22055205000104933,0.22055205000104933,0.027729203148748736,0.027729203148748736,0.027729203148748736,0.2420571185577912,0.2420571185577912,0.2420571185577912,0.0,0.0,0.0,5.20236337170759
2020-11-26 00:00:00,4.711853418185542,4.5724867947050685,5.841501650098028,4.711853418185542,4.711853418185542,0.4997313657076271,0.4997313657076271,0.4997313657076271,0.2205520500000248,0.2205520500000248,0.2205520500000248,0.043289549999983454,0.043289549999983454,0.043289549999983454,0.23588976570761877,0.23588976570761877,0.23588976570761877,0.0,0.0,0.0,5.211584783893169
2020-11-27 00:00:00,4.711681836371084,4.596288602402353,5.882675409320453,4.711681836371084,4.711681836371084,0.5254591482329043,0.5254591482329043,0.5254591482329043,0.2205520500003946,0.2205520500003946,0.2205520500003946,0.07597067309482368,0.07597067309482368,0.07597067309482368,0.22893642513768603,0.22893642513768603,0.22893642513768603,0.0,0.0,0.0,5.237140984603988
2020-11-28 00:00:00,4.711510254556625,4.507703930793164,5.757708109998661,4.711510254556625,4.711510254556625,0.4483432616614796,0.4483432616614796,0.4483432616614796,0.22055204999937011,0.22055204999937011,0.22055204999937011,0.006434120985369944,0.006434120985369944,0.006434120985369944,0.2213570906767396,0.2213570906767396,0.2213570906767396,0.0,0.0,0.0,5.159853516218105
2020-11-29 00:00:00,4.711338672742167,4.471434600221009,5.726946492745336,4.711338672742167,4.711338672742167,0.40942424263157395,0.40942424263157395,0.40942424263157395,0.22055205000182349,0.22055205000182349,0.22055205000182349,-0.02445806899605981,-0.02445806899605981,-0.02445806899605981,0.2133302616258103,0.2133302616258103,0.2133302616258103,0.0,0.0,0.0,5.120762915373741
2020-11-30 00:00:00,4.711167090927709,4.495558999243044,5.756981488082893,4.711167090927709,4.711167090927709,0.40306066752981473,0.40306066752981473,0.40306066752981473,0.22055205000079903,0.22055205000079903,0.22055205000079903,-0.02253973098688585,-0.02253973098688585,-0.02253973098688585,0.20504834851590154,0.20504834851590154,0.20504834851590154,0.0,0.0,0.0,5.114227758457523
2020-12-01 00:00:00,4.710995509113251,4.424767755245796,5.675078511415516,4.710995509113251,4.710995509113251,0.31083894924610356,0.31083894924610356,0.31083894924610356,0.2205520500011688,0.2205520500011688,0.2205520500011688,-0.10642574724631113,-0.10642574724631113,-0.10642574724631113,0.19671264649124587,0.19671264649124587,0.19671264649124587,0.0,0.0,0.0,5.021834458359354
2020-12-02 00:00:00,4.710823927298792,4.469530766367982,5.776638062688549,4.710823927298792,4.710823927298792,0.43680925684751076,0.43680925684751076,0.43680925684751076,0.2205520500001443,0.2205520500001443,0.2205520500001443,0.02772920314885033,0.02772920314885033,0.02772920314885033,0.1885280036985162,0.1885280036985162,0.1885280036985162,0.0,0.0,0.0,5.1476331841463026
2020-12-03 00:00:00,4.710652345484333,4.496506204683345,5.8168307656529885,4.710652345484333,4.710652345484333,0.4445389225114609,0.4445389225114609,0.4445389225114609,0.22055204999911981,0.22055204999911981,0.22055204999911981,0.04328955000004377,0.04328955000004377,0.04328955000004377,0.1806973225122973,0.1806973225122973,0.1806973225122973,0.0,0.0,0.0,5.155191267995794
2020-12-04 00:00:00,4.710480763669875,4.557390432798196,5.817018455028333,4.710480763669875,4.710480763669875,0.46993876153495084,0.46993876153495084,0.46993876153495084,0.22055204999948955,0.22055204999948955,0.22055204999948955,0.07597067309494426,0.07597067309494426,0.07597067309494426,0.17341603844051706,0.17341603844051706,0.17341603844051706,0.0,0.0,0.0,5.180419525204826
2020-12-05 00:00:00,4.7103091818554175,4.501543957668858,5.750621926727902,4.7103091818554175,4.7103091818554175,0.3938528958274287,0.3938528958274287,0.3938528958274287,0.2205520499984651,0.2205520499984651,0.2205520499984651,0.0064341209851481035,0.0064341209851481035,0.0064341209851481035,0.1668667248438155,0.1668667248438155,0.1668667248438155,0.0,0.0,0.0,5.1041620776828465
2020-12-06 00:00:00,4.710137600040959,4.414713592851935,5.730531073278306,4.710137600040959,4.710137600040959,0.3573079520080969,0.3573079520080969,0.3573079520080969,0.2205520500009185,0.2205520500009185,0.2205520500009185,-0.024458068996129463,-0.024458068996129463,-0.024458068996129463,0.16121397100330787,0.16121397100330787,0.16121397100330787,0.0,0.0,0.0,5.067445552049056
2020-12-07 00:00:00,4.7099660182265,4.436825985237772,5.69923258376976,4.7099660182265,4.7099660182265,0.3546119955080288,0.3546119955080288,0.3546119955080288,0.22055205000128825,0.22055205000128825,0.22055205000128825,-0.022539730986514163,-0.022539730986514163,-0.022539730986514163,0.15659967649325474,0.15659967649325474,0.15659967649325474,0.0,0.0,0.0,5.064578013734529
2020-12-08 00:00:00,4.709794436412042,4.333629720825972,5.66659191524379,4.709794436412042,4.709794436412042,0.26726519905159585,0.26726519905159585,0.26726519905159585,0.22055205000026373,0.22055205000026373,0.22055205000026373,-0.10642574724623985,-0.10642574724623985,-0.10642574724623985,0.153138896297572,0.153138896297572,0.153138896297572,0.0,0.0,0.0,4.977059635463638
