,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,CO
494.0,2022-04-03,5.0,921.25,11.62,31.87,133.04,20.27,54.95,61.84,5.38,
495.0,2022-04-04,5.0,774.38,8.27,30.85,123.02,17.88,53.58,60.4,5.38,
496.0,2022-04-05,4.0,787.73,29.06,22.96,130.18,24.8,39.46,45.18,5.0,
497.0,2022-04-06,5.0,1295.09,43.36,32.56,153.06,33.38,63.52,71.15,7.22,
498.0,2022-04-07,5.0,1976.01,57.22,47.98,181.67,24.32,57.88,62.62,10.26,
499.0,2022-04-08,4.0,1041.41,14.53,39.41,100.14,21.7,38.29,43.84,5.19,
500.0,2022-04-09,4.0,1522.06,38.44,41.13,100.14,18.36,30.44,36.91,5.26,
501.0,2022-04-10,4.0,1335.14,16.99,51.41,134.47,19.07,43.68,50.05,5.0,
502.0,2022-04-11,4.0,1588.82,44.7,38.73,107.29,25.51,30.95,38.26,5.76,
503.0,2022-04-12,2.0,787.73,14.19,28.79,95.84,19.79,11.1,13.65,5.0,
504.0,2022-04-13,4.0,614.17,6.48,34.62,29.68,14.54,29.2,33.01,3.26,
505.0,2022-04-14,5.0,2002.72,60.8,78.83,81.54,34.81,56.2,64.71,4.62,
506.0,2022-04-15,5.0,2189.64,19.67,113.79,181.67,33.86,69.23,78.2,6.71,
507.0,2022-04-16,4.0,1255.04,12.29,59.63,171.66,10.61,47.46,53.37,5.89,
508.0,2022-04-17,4.0,1361.85,21.01,74.03,185.97,15.5,48.67,51.77,5.38,
509.0,2022-04-18,4.0,1321.79,23.47,51.41,144.48,11.8,37.09,43.95,5.19,
510.0,2022-04-19,5.0,3204.35,97.45,80.2,134.47,16.69,81.22,106.46,16.97,
511.0,2022-04-20,5.0,4699.71,194.91,42.5,197.41,16.45,101.43,123.47,13.17,
512.0,2022-04-21,5.0,1455.31,19.0,48.67,185.97,20.98,79.41,90.97,6.59,
513.0,2022-04-22,5.0,1121.52,30.4,33.93,185.97,29.33,78.72,86.6,6.4,
514.0,2022-04-23,3.0,594.14,4.08,23.65,63.66,20.03,21.05,24.41,6.02,
515.0,2022-04-24,4.0,1922.61,70.63,43.87,128.75,15.02,37.59,47.02,8.23,
516.0,2022-04-25,4.0,1148.22,20.12,49.35,155.93,18.12,42.99,53.26,9.37,
517.0,2022-04-26,5.0,1762.39,39.79,47.98,223.16,20.74,81.41,88.72,10.26,
518.0,2022-04-27,5.0,1108.17,18.33,39.07,173.09,23.6,54.96,63.15,7.98,
519.0,2022-04-28,5.0,2510.07,50.96,78.83,197.41,21.93,94.25,114.88,15.07,
520.0,2022-04-29,5.0,2937.32,93.88,59.63,158.79,16.45,97.96,118.51,15.58,
521.0,2022-04-30,4.0,847.82,9.05,43.18,125.89,10.13,37.68,46.45,9.63,
522.0,2022-05-01,4.0,921.25,11.62,43.87,123.02,14.54,43.26,53.63,7.09,
523.0,2022-05-02,3.0,947.95,6.31,55.52,105.86,14.54,23.34,30.23,6.97,
524.0,2022-05-03,5.0,2029.42,45.6,104.19,120.16,25.51,53.96,65.46,10.01,
525.0,2022-05-04,5.0,3231.05,101.03,97.33,148.77,29.8,84.89,102.34,14.82,
526.0,2022-05-05,5.0,4699.71,132.32,127.49,150.2,30.99,132.27,149.12,10.77,
527.0,2022-05-06,5.0,2910.61,79.57,65.8,237.46,19.07,93.39,101.48,8.36,
528.0,2022-05-07,5.0,1922.61,59.9,43.53,135.9,10.97,50.01,60.22,6.4,
529.0,2022-05-08,4.0,988.01,12.74,42.16,104.43,10.85,48.32,83.15,6.08,
530.0,2022-05-09,5.0,847.82,11.51,27.42,87.26,7.87,58.78,94.23,4.5,
531.0,2022-05-10,2.0,440.6,0.87,17.99,69.38,4.71,16.9,20.99,2.63,
532.0,2022-05-11,2.0,343.8,0.63,13.02,70.81,3.46,16.39,19.22,2.53,
533.0,2022-05-12,2.0,614.17,0.78,31.53,55.07,5.54,14.64,15.87,1.96,
534.0,2022-05-13,1.0,594.14,1.84,32.22,50.07,6.56,9.27,10.73,2.47,
535.0,2022-05-14,2.0,754.36,1.9,38.04,56.51,7.87,12.46,15.73,3.04,
536.0,2022-05-15,2.0,1388.55,27.27,51.41,56.51,11.32,16.5,20.44,3.93,
537.0,2022-05-16,2.0,1081.47,6.65,63.06,46.49,20.27,19.06,22.25,3.42,
538.0,2022-05-17,4.0,1842.5,67.06,60.32,37.55,21.93,32.48,38.33,9.5,
539.0,2022-05-18,4.0,1308.44,26.15,43.53,67.95,16.69,31.6,35.21,3.64,
540.0,2022-05-19,3.0,540.73,1.03,23.65,73.67,7.45,23.21,24.42,2.41,
541.0,2022-05-20,2.0,627.52,2.18,31.19,50.78,5.9,16.32,18.53,2.75,
542.0,2022-05-21,2.0,353.81,2.43,11.14,88.69,3.37,14.66,15.94,3.39,
543.0,2022-05-22,1.0,333.79,3.38,11.48,35.05,3.1,2.31,3.94,2.18,
544.0,2022-05-23,2.0,827.79,6.87,41.47,67.23,7.39,10.94,16.35,7.92,
545.0,2022-05-24,3.0,1668.93,49.17,44.55,65.8,10.01,20.68,29.41,8.36,
546.0,2022-05-25,5.0,5340.58,225.31,62.38,85.12,19.55,101.94,123.33,15.96,
547.0,2022-05-26,4.0,1388.55,34.42,52.78,150.2,11.09,35.25,44.44,4.56,
548.0,2022-05-27,2.0,620.84,9.28,27.42,101.57,7.33,16.66,20.61,6.02,
549.0,2022-05-28,2.0,453.95,5.98,17.14,92.98,5.25,9.69,12.45,4.37,
550.0,2022-05-29,2.0,594.14,5.7,28.1,91.55,6.38,9.54,14.28,7.73,
551.0,2022-05-30,4.0,2643.59,65.27,69.23,85.83,18.6,43.54,53.18,7.28,
552.0,2022-05-31,5.0,3364.56,134.11,55.52,53.64,17.64,61.99,78.19,14.06,
553.0,2022-06-01,2.0,934.6,10.95,40.44,47.21,8.46,11.6,16.36,3.93,
554.0,2022-06-02,1.0,714.3,8.38,36.67,64.37,10.01,8.19,11.54,5.64,
555.0,2022-06-03,4.0,2082.82,56.33,75.4,104.43,11.56,28.57,36.21,7.79,
556.0,2022-06-04,4.0,1682.28,8.49,89.11,110.15,14.07,41.62,49.35,3.89,
557.0,2022-06-05,4.0,801.09,8.49,34.96,130.18,8.94,30.23,33.79,3.99,
558.0,2022-06-06,4.0,2082.82,70.63,45.24,55.07,14.42,29.48,37.82,5.89,
559.0,2022-06-07,2.0,1361.85,46.04,31.87,26.46,10.13,15.39,19.67,5.13,
560.0,2022-06-08,2.0,787.73,10.17,39.41,80.82,9.54,14.52,19.04,5.38,
561.0,2022-06-09,1.0,567.44,9.16,30.16,63.66,6.2,6.25,9.88,4.18,
562.0,2022-06-10,1.0,607.49,7.15,26.39,45.78,6.62,6.42,9.28,2.88,
563.0,2022-06-11,1.0,460.62,5.2,20.39,37.91,4.35,4.3,6.12,2.5,
564.0,2022-06-12,1.0,500.68,5.25,22.62,47.92,4.71,5.67,7.77,2.53,
565.0,2022-06-13,2.0,580.79,9.16,28.45,70.81,7.27,10.04,12.12,5.64,
566.0,2022-06-14,1.0,801.09,11.85,32.22,47.92,9.54,9.92,14.22,4.81,
567.0,2022-06-15,2.0,827.79,23.25,29.82,39.7,8.46,10.18,13.3,4.02,
568.0,2022-06-16,2.0,974.66,23.02,30.85,26.11,12.04,15.49,19.4,3.48,
569.0,2022-06-17,3.0,1615.52,44.26,59.63,28.97,28.61,24.19,28.97,4.24,
570.0,2022-06-18,2.0,1041.41,27.49,29.82,17.52,15.02,13.22,17.3,3.51,
571.0,2022-06-19,1.0,947.95,23.92,25.02,21.1,7.33,8.17,10.35,3.67,
572.0,2022-06-20,1.0,514.03,8.83,25.02,32.19,6.26,4.63,6.09,2.98,
573.0,2022-06-21,1.0,487.33,3.74,22.96,35.76,4.95,4.17,6.37,2.28,
574.0,2022-06-22,1.0,467.3,4.41,21.25,37.91,5.3,5.96,8.3,2.47,
575.0,2022-06-23,1.0,667.57,5.09,30.85,46.49,8.82,7.61,10.35,2.85,
576.0,2022-06-24,1.0,420.57,3.52,18.16,40.41,4.17,3.44,5.52,2.88,
577.0,2022-06-25,1.0,360.49,1.41,14.22,31.83,2.71,2.31,3.64,1.69,
578.0,2022-06-26,1.0,333.79,0.71,12.0,32.54,3.64,2.77,4.52,3.29,
579.0,2022-06-27,1.0,413.89,2.6,18.85,37.55,4.35,2.72,4.4,3.32,
580.0,2022-06-28,1.0,467.3,2.88,22.62,48.64,5.42,5.36,7.8,3.07,
581.0,2022-06-29,1.0,403.88,3.52,18.51,37.91,4.47,3.43,5.28,2.37,
582.0,2022-06-30,1.0,423.91,3.97,19.19,25.75,4.59,3.84,5.31,2.12,
583.0,2022-07-01,1.0,380.52,2.77,16.28,36.84,4.05,2.93,4.36,2.72,
584.0,2022-07-02,1.0,337.12,0.53,12.68,37.19,2.8,2.46,3.74,2.34,
585.0,2022-07-03,1.0,440.6,1.93,18.51,28.61,3.87,2.66,3.67,1.88,
586.0,2022-07-04,1.0,347.14,1.82,13.71,34.69,3.19,2.8,3.61,1.38,
587.0,2022-07-05,1.0,400.54,2.85,17.31,43.99,3.37,3.46,4.58,1.41,
588.0,2022-07-06,1.0,440.6,2.6,21.08,42.2,4.47,3.54,4.68,1.87,
589.0,2022-07-07,1.0,500.68,3.97,23.65,39.34,4.41,5.63,6.8,1.46,
590.0,2022-07-08,1.0,353.81,2.32,14.57,34.33,3.25,3.77,5.03,2.09,
591.0,2022-07-09,1.0,320.43,1.98,10.97,35.76,2.44,3.15,3.9,1.09,
592.0,2022-07-10,1.0,303.75,1.08,9.77,43.63,2.38,3.18,4.27,1.41,
593.0,2022-07-11,1.0,373.84,1.84,14.91,50.07,3.22,4.43,5.54,1.42,
594.0,2022-07-12,1.0,333.79,1.79,12.34,42.56,2.83,1.86,2.86,1.87,
595.0,2022-07-13,1.0,317.1,1.03,12.17,37.91,2.74,2.71,3.82,1.55,
596.0,2022-07-14,1.0,297.07,1.33,10.62,33.62,2.41,1.82,3.15,1.66,
597.0,2022-07-15,1.0,347.14,2.01,13.88,37.19,3.01,1.91,3.13,2.15,
598.0,2022-07-16,1.0,357.15,1.02,13.88,30.76,2.71,2.15,2.9,1.66,
599.0,2022-07-17,1.0,393.87,2.18,16.11,31.83,3.31,3.69,4.66,1.68,
600.0,2022-07-18,1.0,600.81,8.94,22.62,23.25,6.5,7.38,10.26,2.56,
601.0,2022-07-19,1.0,714.3,10.95,28.1,35.76,7.57,8.98,11.95,3.01,
602.0,2022-07-20,1.0,353.81,0.34,10.02,7.96,4.23,4.77,6.41,2.18,
603.0,2022-07-21,,,,,,,,,,
604.0,2022-07-22,1.0,540.73,5.2,25.02,29.33,5.84,8.14,11.34,2.53,
605.0,2022-07-23,1.0,403.88,4.3,17.14,31.47,4.11,3.71,5.41,2.28,
606.0,2022-07-24,1.0,567.44,4.64,25.02,30.04,5.13,6.42,9.35,2.82,
607.0,2022-07-25,2.0,787.73,16.09,25.02,21.64,7.39,12.26,18.25,6.9,
608.0,2022-07-26,2.0,674.25,7.82,29.82,29.33,8.94,10.92,14.19,3.51,
609.0,2022-07-27,4.0,1161.58,9.05,57.58,82.97,17.64,38.88,43.14,3.86,
610.0,2022-07-28,5.0,2002.72,65.27,56.89,114.44,29.33,51.25,57.83,6.4,
611.0,2022-07-29,5.0,3337.86,119.81,61.01,98.71,24.56,79.49,92.3,6.52,
612.0,2022-07-30,4.0,1201.63,17.66,59.63,86.55,17.4,27.93,33.29,3.74,
613.0,2022-07-31,2.0,921.25,8.27,50.72,55.79,14.9,13.06,16.65,3.39,
614.0,2022-08-01,4.0,1562.12,38.89,50.72,16.45,25.51,33.47,39.0,5.07,
615.0,2022-08-02,3.0,1121.52,15.87,50.72,34.33,22.41,24.15,28.28,4.37,
616.0,2022-08-03,5.0,1375.2,16.54,83.63,81.54,25.03,50.49,53.99,3.67,
617.0,2022-08-04,2.0,761.03,8.38,32.22,28.61,12.64,15.85,17.36,3.32,
618.0,2022-08-05,1.0,343.8,3.19,13.54,35.41,3.25,3.03,3.51,1.17,
619.0,2022-08-06,1.0,293.73,0.89,10.97,41.13,2.24,1.72,2.13,1.39,
620.0,2022-08-07,1.0,277.04,1.44,9.68,43.63,2.35,3.18,3.65,1.3,
621.0,2022-08-08,1.0,317.1,1.27,13.02,31.83,3.01,2.23,3.39,1.47,
622.0,2022-08-09,1.0,310.42,1.3,11.48,45.42,2.89,2.26,3.53,2.09,
623.0,2022-08-10,1.0,323.77,1.3,12.85,38.98,3.07,4.02,5.37,1.9,
624.0,2022-08-11,1.0,323.77,2.29,12.17,50.07,3.1,2.89,3.58,2.15,
625.0,2022-08-12,1.0,390.53,2.26,16.28,45.06,4.41,5.95,7.79,2.85,
626.0,2022-08-13,1.0,317.1,2.07,13.02,35.41,3.16,2.71,4.41,3.07,
627.0,2022-08-14,1.0,447.27,2.49,21.93,50.07,4.59,6.22,9.01,4.69,
628.0,2022-08-15,4.0,1588.82,49.17,42.84,51.5,9.66,25.47,36.74,9.88,
629.0,2022-08-16,5.0,4966.74,214.58,49.35,63.66,17.4,102.68,123.53,15.2,
630.0,2022-08-17,5.0,4966.74,232.46,38.04,32.9,16.69,92.86,119.03,14.31,
631.0,2022-08-18,1.0,580.79,6.2,25.02,24.68,7.45,7.57,10.03,3.96,
632.0,2022-08-19,1.0,460.62,2.85,20.22,22.17,5.01,4.51,7.12,4.12,
633.0,2022-08-20,1.0,427.25,4.3,19.19,28.25,4.53,2.81,4.28,3.89,
634.0,2022-08-21,1.0,397.21,2.32,17.48,17.7,3.93,3.13,4.54,2.09,
635.0,2022-08-22,1.0,417.23,3.69,18.51,49.35,4.65,5.07,6.2,2.47,
636.0,2022-08-23,1.0,473.98,5.31,20.91,24.68,4.89,4.84,6.73,2.25,
637.0,2022-08-24,1.0,554.08,5.03,25.7,21.46,7.03,5.07,6.86,2.31,
638.0,2022-08-25,1.0,707.63,7.49,32.22,32.9,8.7,9.28,11.93,2.91,
639.0,2022-08-26,2.0,894.55,21.01,28.79,23.6,10.61,11.87,15.12,3.13,
640.0,2022-08-27,1.0,607.49,5.7,25.7,30.76,6.02,7.06,8.74,2.22,
641.0,2022-08-28,3.0,1295.09,28.16,37.7,35.41,10.73,24.62,32.4,4.18,
642.0,2022-08-29,3.0,974.66,14.75,41.13,35.76,13.59,21.75,25.37,3.7,
643.0,2022-08-30,4.0,974.66,12.18,40.1,68.66,14.31,29.77,34.63,5.26,
644.0,2022-08-31,4.0,2403.26,80.47,47.3,49.35,19.79,48.64,62.21,8.99,
645.0,2022-09-01,5.0,3524.78,151.99,44.55,28.61,21.22,56.21,68.89,6.84,
646.0,2022-09-02,5.0,1094.82,16.09,47.98,103.0,20.5,63.88,69.15,3.45,
647.0,2022-09-03,5.0,5661.01,214.58,98.71,173.09,17.4,100.85,114.27,12.54,
648.0,2022-09-04,4.0,1268.39,4.36,66.49,113.01,19.07,40.51,44.41,3.83,
649.0,2022-09-05,5.0,1842.5,15.42,97.33,123.02,24.08,55.87,61.17,4.62,
650.0,2022-09-06,4.0,1375.2,37.1,83.63,131.61,29.09,40.53,43.98,5.45,
651.0,2022-09-07,1.0,727.65,16.54,25.7,19.67,8.11,8.67,11.08,2.69,
652.0,2022-09-08,1.0,567.44,7.49,28.1,32.9,5.78,8.5,11.76,2.6,
653.0,2022-09-09,1.0,500.68,4.19,25.02,27.18,5.19,3.92,5.28,2.01,
654.0,2022-09-10,1.0,353.81,1.96,15.77,35.41,2.98,2.58,3.48,1.63,
655.0,2022-09-11,1.0,310.42,1.59,12.0,34.33,2.86,2.55,3.57,2.06,
656.0,2022-09-12,1.0,373.84,1.77,16.79,33.26,3.99,3.54,5.48,3.1,
657.0,2022-09-13,1.0,473.98,2.68,22.62,36.84,5.48,4.72,7.16,2.91,
658.0,2022-09-14,1.0,574.11,6.03,28.1,52.21,6.14,7.87,11.72,2.94,
659.0,2022-09-15,1.0,634.19,6.59,32.9,33.62,6.26,5.46,8.27,4.02,
660.0,2022-09-16,1.0,580.79,5.14,29.13,72.96,6.44,8.8,12.79,4.94,
661.0,2022-09-17,1.0,587.46,5.2,28.45,59.37,5.3,6.47,9.65,4.24,
662.0,2022-09-18,1.0,600.81,4.92,31.53,36.84,5.66,5.47,8.55,6.02,
663.0,2022-09-19,1.0,607.49,10.73,25.7,28.61,7.21,7.53,10.19,3.23,
664.0,2022-09-20,1.0,554.08,11.85,24.68,63.66,6.74,7.05,9.82,3.64,
665.0,2022-09-21,2.0,1001.36,21.68,37.01,43.27,7.63,13.97,21.22,8.49,
666.0,2022-09-22,2.0,881.2,12.85,42.84,62.23,7.75,12.93,20.49,9.88,
667.0,2022-09-23,2.0,747.68,20.56,30.16,76.53,8.23,10.52,14.22,4.81,
668.0,2022-09-24,1.0,567.44,5.7,23.31,55.07,4.89,8.9,13.02,3.8,
669.0,2022-09-25,4.0,1842.5,67.95,40.1,63.66,8.94,31.35,43.93,11.53,
670.0,2022-09-26,2.0,620.84,6.15,31.53,29.68,6.74,10.22,15.43,5.07,
671.0,2022-09-27,2.0,1054.76,21.01,42.5,45.78,8.7,17.02,24.04,8.61,
672.0,2022-09-28,2.0,881.2,15.65,37.7,41.48,7.57,13.33,20.79,9.88,
673.0,2022-09-29,2.0,560.76,7.93,33.24,67.23,6.2,10.65,16.16,7.98,
674.0,2022-09-30,1.0,567.44,5.14,30.5,33.62,5.42,6.53,8.01,2.66,
675.0,2022-10-01,1.0,423.91,2.6,19.88,30.04,3.73,4.35,5.78,2.03,
676.0,2022-10-02,1.0,587.46,1.02,29.47,62.94,4.83,6.26,8.69,3.32,
677.0,2022-10-03,1.0,614.17,1.68,33.24,70.81,6.32,8.65,12.65,6.27,
678.0,2022-10-04,2.0,787.73,2.74,41.47,68.66,10.61,19.05,26.27,5.83,
679.0,2022-10-05,3.0,1161.58,8.83,56.21,72.96,9.42,22.28,30.05,7.09,
680.0,2022-10-06,2.0,781.06,9.16,40.78,57.94,7.15,11.11,14.65,3.1,
681.0,2022-10-07,4.0,1895.9,62.58,52.09,58.65,10.85,26.75,38.54,8.99,
682.0,2022-10-08,4.0,907.9,12.96,32.56,94.41,8.82,25.29,32.58,5.51,
683.0,2022-10-09,4.0,1708.98,50.96,51.41,63.66,17.88,31.35,35.0,7.73,
684.0,2022-10-10,4.0,1815.8,61.69,39.76,26.82,17.64,40.21,46.62,4.56,
685.0,2022-10-11,5.0,1869.2,32.19,66.49,53.64,16.45,63.85,75.39,4.62,
686.0,2022-10-12,5.0,3311.16,101.03,83.63,53.64,32.9,82.12,86.39,19.51,
687.0,2022-10-13,5.0,5073.55,209.21,78.14,110.15,36.24,114.48,128.52,21.53,
688.0,2022-10-14,4.0,2082.82,70.63,67.17,24.32,26.23,44.06,48.77,8.23,
689.0,2022-10-15,3.0,907.9,10.28,34.62,54.36,14.19,23.36,26.04,3.32,
690.0,2022-10-16,4.0,1615.52,47.83,41.47,48.64,13.83,34.45,40.49,6.65,
691.0,2022-10-17,5.0,1922.61,30.4,67.17,86.55,16.45,62.0,71.83,5.13,
692.0,2022-10-18,4.0,1922.61,50.51,56.21,39.7,20.27,48.89,54.93,6.71,
693.0,2022-10-19,4.0,3524.78,151.99,51.41,71.53,18.84,45.85,55.0,10.26,
694.0,2022-10-20,4.0,2349.85,84.94,51.41,113.01,15.97,46.76,55.45,4.69,
695.0,2022-10-21,3.0,988.01,9.61,41.47,62.23,9.42,23.06,29.13,3.51,
696.0,2022-10-22,5.0,961.3,2.77,35.99,113.01,7.57,136.71,144.07,6.02,
697.0,2022-10-23,5.0,1869.2,34.42,42.5,145.91,11.32,168.23,179.56,7.35,
698.0,2022-10-24,5.0,988.01,6.03,54.84,135.9,20.03,96.21,112.49,9.75,
699.0,2022-10-25,5.0,3391.27,128.75,75.4,143.05,15.26,130.57,163.84,19.51,
700.0,2022-10-26,5.0,4913.33,196.7,87.05,178.81,15.97,116.63,140.88,16.72,
701.0,2022-10-27,5.0,1281.74,23.47,61.01,120.16,11.44,51.91,59.37,10.01,
702.0,2022-10-28,4.0,660.9,4.75,26.73,104.43,7.75,48.74,52.64,3.2,
703.0,2022-10-29,4.0,554.08,0.78,23.65,85.83,6.32,41.79,43.06,2.09,
704.0,2022-10-30,5.0,988.01,1.08,47.98,107.29,8.46,52.19,58.28,2.91,
705.0,2022-10-31,5.0,934.6,8.61,41.81,144.48,12.16,137.97,152.58,7.73,
706.0,2022-11-01,5.0,680.92,0.33,22.96,110.15,7.51,60.51,61.9,2.06,
707.0,2022-11-02,3.0,700.95,1.02,24.68,55.07,9.3,21.9,23.76,2.12,
708.0,2022-11-03,2.0,742.0,2.27,32.25,53.64,7.34,15.16,16.81,2.12,
709.0,2022-11-04,2.0,668.0,3.38,35.37,43.0,8.37,10.44,12.25,2.91,
710.0,2022-11-05,2.0,554.08,3.1,21.59,62.94,6.38,15.74,19.07,2.91,
711.0,2022-11-06,5.0,614.17,0.99,19.54,114.44,6.5,89.9,102.29,3.8,
712.0,2022-11-07,5.0,1455.31,17.66,77.46,124.45,11.09,100.39,112.67,9.88,
713.0,2022-11-08,5.0,821.11,6.03,45.93,124.45,9.3,87.69,97.76,7.35,
714.0,2022-11-09,5.0,1041.41,9.72,63.06,118.73,10.25,70.52,83.17,9.75,
715.0,2022-11-10,5.0,734.33,3.91,26.39,131.61,10.37,82.34,91.02,2.06,
716.0,2022-11-11,5.0,640.87,0.59,23.31,100.14,8.46,72.63,73.67,1.63,
717.0,2022-11-12,1.0,473.98,0.55,14.57,60.8,3.58,6.63,8.07,1.63,
718.0,2022-11-13,1.0,507.35,1.27,21.59,36.12,7.21,6.55,8.34,1.76,
719.0,2022-11-14,4.0,794.41,2.91,34.96,86.55,9.78,33.84,36.84,2.79,
720.0,2022-11-15,5.0,1321.79,5.48,69.23,97.27,13.47,56.76,63.9,5.89,
721.0,2022-11-16,5.0,1295.09,11.73,67.17,117.3,14.07,112.32,126.76,11.4,
722.0,2022-11-17,5.0,2056.12,57.22,81.57,143.05,17.4,127.35,145.09,11.65,
723.0,2022-11-18,5.0,2536.77,76.89,82.94,135.9,13.35,144.36,155.4,12.92,
724.0,2022-11-19,5.0,1375.2,6.15,80.2,138.76,8.94,150.24,165.74,8.49,
725.0,2022-11-20,5.0,1628.88,26.82,84.31,143.05,9.3,145.61,158.97,11.91,
726.0,2022-11-21,5.0,1041.41,3.27,52.09,107.29,10.13,105.69,116.39,6.52,
727.0,2022-11-22,4.0,674.25,1.08,28.79,73.67,7.57,34.4,36.92,3.23,
728.0,2022-11-23,4.0,1708.98,46.49,43.53,35.76,21.7,33.02,41.02,4.69,
729.0,2022-11-24,4.0,1094.82,20.79,35.99,55.07,26.23,26.5,29.15,3.48,
730.0,2022-11-25,3.0,988.01,2.04,51.41,79.39,11.68,23.19,24.38,5.19,
731.0,2022-11-26,4.0,2456.67,93.88,52.78,76.53,13.95,38.15,49.66,10.77,
732.0,2022-11-27,4.0,1842.5,27.72,75.4,98.71,12.87,29.11,36.8,9.25,
733.0,2022-11-28,5.0,3231.05,102.82,87.74,141.62,15.97,73.79,88.02,13.93,
734.0,2022-11-29,5.0,947.95,3.24,52.78,124.45,17.64,105.47,112.46,8.74,
735.0,2022-11-30,5.0,1094.82,8.16,67.17,131.61,14.66,117.2,124.47,11.53,
736.0,2022-12-01,4.0,881.2,1.29,29.13,92.98,12.16,49.18,53.07,3.1,
737.0,2022-12-02,4.0,1001.36,3.86,50.04,87.98,10.97,31.57,33.28,5.7,
738.0,2022-12-03,2.0,614.17,3.8,23.65,50.07,7.87,13.55,16.42,3.51,
739.0,2022-12-04,4.0,594.14,1.93,23.31,75.82,5.96,33.72,38.11,3.58,
740.0,2022-12-05,5.0,854.49,0.73,29.47,97.27,9.78,74.87,80.97,6.02,
741.0,2022-12-06,5.0,1134.87,2.29,55.52,101.57,8.58,94.7,105.03,10.77,
742.0,2022-12-07,5.0,2056.12,47.39,73.34,145.91,10.97,164.39,184.77,14.82,
743.0,2022-12-08,5.0,834.47,2.1,37.01,127.32,9.66,138.85,147.58,5.89,
744.0,2022-12-09,4.0,263.69,0.0,3.6,97.27,3.81,38.8,39.66,1.74,
745.0,2022-12-10,,,,,,,,,,
746.0,2022-12-11,4.0,921.25,4.97,38.04,34.33,12.64,35.31,38.35,3.2,
747.0,2022-12-12,4.0,881.2,0.78,33.24,70.81,13.11,28.73,30.35,2.69,
748.0,2022-12-13,3.0,700.95,5.92,32.22,87.98,15.26,24.08,24.91,1.57,
749.0,2022-12-14,4.0,1081.47,12.41,47.98,52.93,12.04,28.32,33.94,5.57,
750.0,2022-12-15,4.0,1482.01,24.14,65.12,100.14,12.04,35.92,44.63,10.51,
751.0,2022-12-16,5.0,1201.63,17.43,58.95,80.11,9.54,50.82,57.12,10.13,
752.0,2022-12-17,5.0,807.76,4.69,32.22,124.45,6.91,112.78,118.1,4.31,
753.0,2022-12-18,5.0,761.03,0.66,25.7,111.58,6.14,92.04,95.76,2.69,
754.0,2022-12-19,4.0,700.95,3.27,37.01,118.73,8.23,48.96,58.89,6.52,
755.0,2022-12-20,5.0,761.03,8.49,47.3,81.54,9.42,77.16,86.14,7.98,
756.0,2022-12-21,5.0,847.82,9.16,47.98,97.27,8.58,69.09,75.12,8.23,
757.0,2022-12-22,5.0,934.6,5.64,49.35,103.0,7.03,69.19,78.09,7.41,
758.0,2022-12-23,5.0,1054.76,8.72,43.18,127.32,11.09,170.97,180.67,4.62,
759.0,2022-12-24,5.0,1028.06,2.99,46.61,143.05,8.23,211.17,221.91,6.59,
760.0,2022-12-25,3.0,400.54,0.0,4.28,57.94,2.95,43.59,46.43,1.39,
761.0,2022-12-26,2.0,680.92,2.18,26.73,59.37,9.18,16.23,19.29,2.22,
762.0,2022-12-27,3.0,674.25,2.35,24.68,73.67,10.73,38.92,43.29,2.63,
763.0,2022-12-28,4.0,867.84,14.08,31.53,87.98,11.21,70.83,81.12,5.19,
764.0,2022-12-29,4.0,1081.47,16.76,47.98,88.69,16.45,52.72,60.09,8.61,
765.0,2022-12-30,4.0,1668.93,38.89,59.63,105.86,16.21,52.12,62.32,9.63,
766.0,2022-12-31,4.0,1441.96,23.02,68.55,115.87,15.5,57.84,65.8,10.64,
767.0,2023-01-01,5.0,1188.28,11.51,46.61,118.73,13.11,75.74,80.45,7.41,
768.0,2023-01-02,5.0,1148.22,7.49,42.5,120.16,20.03,119.11,128.3,6.4,
769.0,2023-01-03,4.0,1548.77,30.4,45.24,114.44,16.93,71.96,84.94,6.02,
770.0,2023-01-04,3.0,781.06,6.93,30.16,113.01,13.95,24.55,30.66,4.69,
771.0,2023-01-05,4.0,514.03,2.21,18.68,91.55,8.58,54.15,65.82,3.64,
772.0,2023-01-06,4.0,720.98,1.4,27.42,104.43,7.87,69.79,81.35,3.45,
773.0,2023-01-07,4.0,620.84,2.12,20.56,113.01,7.51,71.82,76.18,5.19,
774.0,2023-01-08,5.0,921.25,2.07,30.5,134.47,8.94,105.13,112.8,7.92,
775.0,2023-01-09,5.0,1068.12,5.81,58.26,124.45,13.95,91.75,99.98,11.65,
776.0,2023-01-10,4.0,934.6,5.76,45.93,144.48,13.35,62.51,72.86,9.88,
777.0,2023-01-11,5.0,2136.23,58.11,56.21,125.89,14.07,83.42,96.27,10.26,
778.0,2023-01-12,5.0,2243.04,59.9,94.59,125.89,15.74,95.32,110.84,12.41,
779.0,2023-01-13,5.0,1895.9,33.97,70.6,141.62,17.4,113.05,127.1,9.37,
780.0,2023-01-14,5.0,1214.98,6.65,55.52,124.45,17.4,110.06,121.35,10.26,
781.0,2023-01-15,5.0,2403.26,70.63,58.26,131.61,11.56,86.3,100.79,7.98,
782.0,2023-01-16,5.0,2189.64,60.8,63.75,131.61,19.55,88.74,97.24,9.37,
