ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-12-22 00:00:00,4.6987984006973385,4.67848719273337,5.492994702658887,4.6987984006973385,4.6987984006973385,0.37157457387471116,0.37157457387471116,0.37157457387471116,0.2827925618505245,0.2827925618505245,0.2827925618505245,0.033095986419238735,0.033095986419238735,0.033095986419238735,0.05568602560494794,0.05568602560494794,0.05568602560494794,0.0,0.0,0.0,5.07037297457205
2021-12-23 00:00:00,4.698721991213891,4.670724112024533,5.462922518475636,4.698721991213891,4.698721991213891,0.3826975447794723,0.3826975447794723,0.3826975447794723,0.2827925618496814,0.2827925618496814,0.2827925618496814,0.037498399999976666,0.037498399999976666,0.037498399999976666,0.062406582929814325,0.062406582929814325,0.062406582929814325,0.0,0.0,0.0,5.081419535993364
2021-12-24 00:00:00,4.698645581730444,4.66221564517271,5.485033762518271,4.698645581730444,4.698645581730444,0.3931661792844814,0.3931661792844814,0.3931661792844814,0.28279256184883816,0.28279256184883816,0.28279256184883816,0.04210806434299292,0.04210806434299292,0.04210806434299292,0.06826555309265027,0.06826555309265027,0.06826555309265027,0.0,0.0,0.0,5.091811761014926
2021-12-25 00:00:00,4.698569172246997,4.64424369094399,5.405019427901181,4.698569172246997,4.698569172246997,0.31000852651562727,0.31000852651562727,0.31000852651562727,0.2827925618479512,0.2827925618479512,0.2827925618479512,-0.04584472023666633,-0.04584472023666633,-0.04584472023666633,0.07306068490434245,0.07306068490434245,0.07306068490434245,0.0,0.0,0.0,5.0085776987626245
2021-12-26 00:00:00,4.69849276276355,4.61170343936446,5.3844477302409315,4.69849276276355,4.69849276276355,0.2853004902227817,0.2853004902227817,0.2853004902227817,0.282792561847108,0.282792561847108,0.282792561847108,-0.07411212555282273,-0.07411212555282273,-0.07411212555282273,0.07662005392849636,0.07662005392849636,0.07662005392849636,0.0,0.0,0.0,4.983793252986332
2021-12-27 00:00:00,4.698416353280103,4.674937470357935,5.475801265438122,4.698416353280103,4.698416353280103,0.3923709420619016,0.3923709420619016,0.3923709420619016,0.282792561851125,0.282792561851125,0.282792561851125,0.030770462593505965,0.030770462593505965,0.030770462593505965,0.07880791761727071,0.07880791761727071,0.07880791761727071,0.0,0.0,0.0,5.090787295342005
2021-12-28 00:00:00,4.698339943796656,4.616458605899901,5.441717743908455,4.698339943796656,4.698339943796656,0.3388060496606182,0.3388060496606182,0.3388060496606182,0.2827925618502379,0.2827925618502379,0.2827925618502379,-0.023516067566131414,-0.023516067566131414,-0.023516067566131414,0.07952955537651173,0.07952955537651173,0.07952955537651173,0.0,0.0,0.0,5.037145993457274
2021-12-29 00:00:00,4.698263534313209,4.724001527546724,5.499266777643091,4.698263534313209,4.698263534313209,0.3946234795073066,0.3946234795073066,0.3946234795073066,0.2827925618493948,0.2827925618493948,0.2827925618493948,0.033095986419243016,0.033095986419243016,0.033095986419243016,0.0787349312386687,0.0787349312386687,0.0787349312386687,0.0,0.0,0.0,5.092887013820516
2021-12-30 00:00:00,4.6981871248297615,4.665421488390971,5.46649826826299,4.6981871248297615,4.6981871248297615,0.3967120117957943,0.3967120117957943,0.3967120117957943,0.28279256184855156,0.28279256184855156,0.28279256184855156,0.03749839999987335,0.03749839999987335,0.03749839999987335,0.07642104994736929,0.07642104994736929,0.07642104994736929,0.0,0.0,0.0,5.094899136625556
2021-12-31 00:00:00,4.698110715346314,4.685995962300549,5.499539406087883,4.698110715346314,4.698110715346314,0.39753354084611775,0.39753354084611775,0.39753354084611775,0.28279256185256857,0.28279256185256857,0.28279256185256857,0.04210806434267952,0.04210806434267952,0.04210806434267952,0.07263291465086968,0.07263291465086968,0.07263291465086968,0.0,0.0,0.0,5.095644256192432
