
Unnamed: 0,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,CO
77.0,2021-02-10,5.0,11215.21,268.22,197.41,188.83,211.72,1045.94,1220.11,71.94,
78.0,2021-02-11,5.0,10787.96,261.07,244.02,243.19,160.22,1004.93,1172.68,69.92,
79.0,2021-02-12,5.0,9613.04,257.49,191.93,217.44,123.98,824.83,990.48,50.66,
80.0,2021-02-13,5.0,11001.59,166.3,186.44,297.55,139.24,1063.18,1224.33,67.89,
81.0,2021-02-14,5.0,11642.46,225.31,265.96,274.66,209.81,1221.88,1374.19,66.88,
82.0,2021-02-15,5.0,14739.99,296.83,252.25,248.91,154.5,1512.16,1779.78,92.21,
83.0,2021-02-16,5.0,14526.37,275.37,194.67,200.27,335.69,1192.58,1527.88,249.27,
84.0,2021-02-17,5.0,8010.86,169.87,167.25,243.19,110.63,798.34,930.69,51.68,
85.0,2021-02-18,5.0,11322.02,275.37,208.38,263.21,211.72,1007.4,1149.3,66.88,
86.0,2021-02-19,5.0,10681.15,289.68,180.96,248.91,144.96,917.22,1094.65,60.29,
87.0,2021-02-20,5.0,6248.47,76.0,124.75,223.16,69.62,610.28,729.64,56.74,
88.0,2021-02-21,5.0,3391.27,45.6,89.11,205.99,64.85,470.28,524.93,33.95,
89.0,2021-02-22,5.0,5393.98,119.81,115.16,185.97,72.48,428.12,543.43,59.78,
90.0,2021-02-23,5.0,16021.73,286.1,219.35,188.83,324.25,1236.53,1466.69,216.84,
91.0,2021-02-24,5.0,18157.96,450.61,241.28,211.72,116.35,1535.68,1741.28,88.16,
92.0,2021-02-25,5.0,8972.17,236.03,120.64,194.55,103.95,650.77,805.04,70.93,
93.0,2021-02-26,5.0,12817.38,246.76,219.35,181.68,247.96,814.05,1011.72,158.07,
94.0,2021-02-27,5.0,7156.37,171.66,138.46,145.91,106.81,545.02,669.91,67.89,
95.0,2021-02-28,5.0,12176.51,275.37,208.38,208.86,181.2,970.2,1170.1,116.53,
96.0,2021-03-01,5.0,4058.84,76.0,82.25,173.09,123.98,255.84,346.12,51.68,
97.0,2021-03-02,5.0,2029.42,5.36,61.69,180.24,55.79,141.27,182.22,35.47,
98.0,2021-03-03,5.0,12390.14,227.09,149.43,205.99,137.33,915.95,1094.44,94.24,
99.0,2021-03-04,5.0,15380.86,382.66,287.89,371.93,202.18,1204.57,1411.7,100.32,
100.0,2021-03-05,5.0,3631.59,44.7,80.2,167.37,57.7,285.33,359.41,39.52,
101.0,2021-03-06,5.0,6034.85,60.8,131.61,194.55,92.51,415.73,536.19,59.78,
102.0,2021-03-07,5.0,6462.1,150.2,70.6,243.19,73.43,431.53,555.93,58.26,
103.0,2021-03-08,5.0,2269.75,5.09,67.86,220.3,82.97,240.46,301.01,36.99,
104.0,2021-03-09,5.0,14953.61,250.34,202.89,191.69,185.01,1159.2,1429.51,125.65,
105.0,2021-03-10,5.0,8117.68,194.91,123.38,243.19,171.66,613.79,786.41,72.96,
106.0,2021-03-11,5.0,10467.53,228.88,191.93,217.44,289.92,801.23,974.78,59.28,
107.0,2021-03-12,5.0,3952.03,44.7,95.96,131.61,86.78,289.84,383.33,44.58,
108.0,2021-03-13,5.0,4753.11,94.77,120.64,194.55,179.29,319.9,392.84,42.05,
109.0,2021-03-14,5.0,3231.05,66.16,61.69,177.38,64.85,197.14,255.75,41.04,
110.0,2021-03-15,5.0,3898.62,81.36,75.4,188.83,74.39,241.88,321.74,50.16,
111.0,2021-03-16,5.0,3631.59,59.01,97.33,170.23,82.02,230.62,339.77,51.17,
112.0,2021-03-17,5.0,6195.07,151.99,100.08,183.11,100.14,376.06,529.39,62.82,
