ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-07-18,31.049716595317697,30.101119520306153,36.65231443010761,31.049716595317697,31.049716595317697,2.2762484028804693,2.2762484028804693,2.2762484028804693,0.03673520325169888,0.03673520325169888,0.03673520325169888,2.2395131996287705,2.2395131996287705,2.2395131996287705,0.0,0.0,0.0,33.32596499819817
2023-07-19,31.0497375622645,29.80689907843552,36.51892995530948,31.0497375622645,31.0497375622645,2.147218890087189,2.147218890087189,2.147218890087189,-0.03977275013156799,-0.03977275013156799,-0.03977275013156799,2.1869916402187566,2.1869916402187566,2.1869916402187566,0.0,0.0,0.0,33.19695645235169
2023-07-20,31.049758529211303,29.906159106923916,36.52408391397666,31.049758529211303,31.049758529211303,2.059087519743946,2.059087519743946,2.059087519743946,-0.07656536399977515,-0.07656536399977515,-0.07656536399977515,2.135652883743721,2.135652883743721,2.135652883743721,0.0,0.0,0.0,33.10884604895525
2023-07-21,31.0497794961581,29.79110656274511,36.54308346115311,31.0497794961581,31.0497794961581,2.0008565146554966,2.0008565146554966,2.0008565146554966,-0.08389238723230909,-0.08389238723230909,-0.08389238723230909,2.084748901887806,2.084748901887806,2.084748901887806,0.0,0.0,0.0,33.0506360108136
2023-07-22,31.049800463104898,29.721667075612302,36.48088252993749,31.049800463104898,31.049800463104898,2.1118833034111746,2.1118833034111746,2.1118833034111746,0.07820448515130728,0.07820448515130728,0.07820448515130728,2.0336788182598675,2.0336788182598675,2.0336788182598675,0.0,0.0,0.0,33.16168376651607
2023-07-23,31.0498214300517,29.660091064091837,36.433344721267055,31.0498214300517,31.0498214300517,2.012002902024638,2.012002902024638,2.012002902024638,0.029998022282668874,0.029998022282668874,0.029998022282668874,1.9820048797419694,1.9820048797419694,1.9820048797419694,0.0,0.0,0.0,33.06182433207634
2023-07-24,31.049842396998503,29.4498626547141,36.280653610622956,31.049842396998503,31.049842396998503,1.9847560420695154,1.9847560420695154,1.9847560420695154,0.05529279067851955,0.05529279067851955,0.05529279067851955,1.9294632513909957,1.9294632513909957,1.9294632513909957,0.0,0.0,0.0,33.03459843906802
2023-07-25,31.0498633639453,29.28477719223228,36.51592517645042,31.0498633639453,31.0498633639453,1.912704541680818,1.912704541680818,1.912704541680818,0.03673520325173715,0.03673520325173715,0.03673520325173715,1.8759693384290805,1.8759693384290805,1.8759693384290805,0.0,0.0,0.0,32.962567905626116
2023-07-26,31.0498843308921,29.320471925801446,36.33778878522438,31.0498843308921,31.0498843308921,1.7818447452527508,1.7818447452527508,1.7818447452527508,-0.03977275013146824,-0.03977275013146824,-0.03977275013146824,1.8216174953842188,1.8216174953842188,1.8216174953842188,0.0,0.0,0.0,32.83172907614485
2023-07-27,31.049905297838905,29.33497773534532,36.27155059223871,31.049905297838905,31.049905297838905,1.6901097791882653,1.6901097791882653,1.6901097791882653,-0.07656536399991405,-0.07656536399991405,-0.07656536399991405,1.7666751431881795,1.7666751431881795,1.7666751431881795,0.0,0.0,0.0,32.74001507702717
2023-07-28,31.0499262647857,29.24257050499384,35.84878940636785,31.0499262647857,31.0499262647857,1.6276790881972787,1.6276790881972787,1.6276790881972787,-0.08389238723224639,-0.08389238723224639,-0.08389238723224639,1.711571475429525,1.711571475429525,1.711571475429525,0.0,0.0,0.0,32.67760535298298
2023-07-29,31.049947231732503,29.447120054229977,36.18050981088366,31.049947231732503,31.049947231732503,1.7350855755810133,1.7350855755810133,1.7350855755810133,0.07820448515138591,0.07820448515138591,0.07820448515138591,1.6568810904296274,1.6568810904296274,1.6568810904296274,0.0,0.0,0.0,32.78503280731351
2023-07-30,31.049968198679302,29.364067620470603,36.2101169270062,31.049968198679302,31.049968198679302,1.6333010542056998,1.6333010542056998,1.6333010542056998,0.02999802228254186,0.02999802228254186,0.02999802228254186,1.603303031923158,1.603303031923158,1.603303031923158,0.0,0.0,0.0,32.683269252885005
2023-07-31,31.049989165626105,29.37059324580782,35.95256676103453,31.049989165626105,31.049989165626105,1.606928644392301,1.606928644392301,1.606928644392301,0.05529279067847065,0.05529279067847065,0.05529279067847065,1.5516358537138304,1.5516358537138304,1.5516358537138304,0.0,0.0,0.0,32.656917810018406
2023-08-01,31.0500101325729,28.92837954081426,36.07186232365468,31.0500101325729,31.0500101325729,1.5394846421982977,1.5394846421982977,1.5394846421982977,0.036735203251534364,0.036735203251534364,0.036735203251534364,1.5027494389467635,1.5027494389467635,1.5027494389467635,0.0,0.0,0.0,32.5894947747712
2023-08-02,31.050031099519703,28.83983507052249,35.80038282985376,31.050031099519703,31.050031099519703,1.41778164914942,1.41778164914942,1.41778164914942,-0.039772750131811946,-0.039772750131811946,-0.039772750131811946,1.4575543992812319,1.4575543992812319,1.4575543992812319,0.0,0.0,0.0,32.467812748669125
2023-08-03,31.050052066466506,28.98145941528904,35.77540219233005,31.050052066466506,31.050052066466506,1.3404045865469754,1.3404045865469754,1.3404045865469754,-0.07656536399973604,-0.07656536399973604,-0.07656536399973604,1.4169699505467113,1.4169699505467113,1.4169699505467113,0.0,0.0,0.0,32.39045665301348
2023-08-04,31.05007303341331,28.884655277694907,35.84881205216493,31.05007303341331,31.05007303341331,1.2979988201209054,1.2979988201209054,1.2979988201209054,-0.08389238723260908,-0.08389238723260908,-0.08389238723260908,1.3818912073535143,1.3818912073535143,1.3818912073535143,0.0,0.0,0.0,32.348071853534215
2023-08-05,31.050094000360104,29.032845385572504,35.880400019596244,31.050094000360104,31.050094000360104,1.4313613434265802,1.4313613434265802,1.4313613434265802,0.07820448515142109,0.07820448515142109,0.07820448515142109,1.353156858275159,1.353156858275159,1.353156858275159,0.0,0.0,0.0,32.481455343786685
2023-08-06,31.050114967306904,28.95206107129192,35.777477234211304,31.050114967306904,31.050114967306904,1.3615161973126035,1.3615161973126035,1.3615161973126035,0.029998022282414844,0.029998022282414844,0.029998022282414844,1.3315181750301885,1.3315181750301885,1.3315181750301885,0.0,0.0,0.0,32.41163116461951
2023-08-07,31.050135934253706,28.914157174806814,35.63719140064826,31.050135934253706,31.050135934253706,1.3729030644429014,1.3729030644429014,1.3729030644429014,0.05529279067863444,0.05529279067863444,0.05529279067863444,1.317610273764267,1.317610273764267,1.317610273764267,0.0,0.0,0.0,32.423038998696605
2023-08-08,31.050156901200502,29.04041119677568,35.66612067936904,31.050156901200502,31.050156901200502,1.3486616882984563,1.3486616882984563,1.3486616882984563,0.03673520325157263,0.03673520325157263,0.03673520325157263,1.3119264850468837,1.3119264850468837,1.3119264850468837,0.0,0.0,0.0,32.39881858949896
2023-08-09,31.050177868147305,28.99682601948582,35.71056483587261,31.050177868147305,31.050177868147305,1.2750238530956979,1.2750238530956979,1.2750238530956979,-0.03977275013131839,-0.03977275013131839,-0.03977275013131839,1.3147966032270164,1.3147966032270164,1.3147966032270164,0.0,0.0,0.0,32.325201721243005
