,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
247,2021-07-30,5.0,7370.0,193.12,116.53,40.41,205.99,437.56,531.42,24.57
248,2021-07-31,5.0,2136.23,12.85,91.85,194.55,114.44,135.03,168.12,16.21
249,2021-08-01,5.0,7476.81,130.53,87.05,92.98,69.62,440.36,585.71,23.81
250,2021-08-02,5.0,7263.18,130.53,108.3,21.64,226.97,429.8,565.82,19.0
251,2021-08-03,5.0,1708.98,16.99,54.84,117.3,82.02,123.26,144.45,13.05
252,2021-08-04,5.0,1949.31,19.45,76.77,80.11,98.23,125.7,171.91,22.8
253,2021-08-05,5.0,6462.1,60.8,160.4,260.35,209.81,400.95,537.0,43.57
254,2021-08-06,5.0,11856.08,253.92,216.6,220.3,204.09,738.31,926.45,48.64
255,2021-08-07,5.0,5180.36,85.83,154.91,191.69,223.16,341.31,421.41,15.83
256,2021-08-08,5.0,4165.65,83.15,157.65,12.7,240.33,325.08,380.03,14.31
257,2021-08-09,5.0,9078.98,282.53,135.72,1.92,242.23,577.05,713.99,72.96
258,2021-08-10,5.0,3524.78,68.84,87.74,131.61,53.41,296.02,370.86,35.97
259,2021-08-11,5.0,1655.58,11.85,71.29,140.19,36.72,85.67,210.97,28.12
260,2021-08-12,5.0,2029.42,14.08,85.68,125.89,43.87,92.83,217.78,29.13
261,2021-08-13,5.0,3017.43,46.49,97.33,133.04,55.31,129.79,259.59,39.52
262,2021-08-14,5.0,1495.36,5.03,66.49,120.16,32.9,67.49,161.76,21.03
263,2021-08-15,5.0,5928.04,125.17,73.34,134.47,70.57,311.04,527.06,54.72
264,2021-08-16,5.0,12924.19,261.07,116.53,194.55,154.5,763.33,1103.37,107.41
265,2021-08-17,5.0,11001.59,194.91,138.46,246.05,205.99,685.87,956.45,102.34
266,2021-08-18,5.0,9613.04,211.0,161.77,394.82,118.26,730.5,984.2,78.02
267,2021-08-19,5.0,7049.56,160.93,148.06,85.83,251.77,529.76,677.16,33.95
268,2021-08-20,5.0,1508.71,23.02,71.97,20.21,127.79,64.09,81.03,10.64
