,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
30,2020-12-25,5.0,5607.61,84.94,138.46,164.51,86.78,477.66,590.87,52.18
31,2020-12-26,5.0,10787.96,184.18,131.61,160.22,117.3,847.05,989.07,83.09
32,2020-12-27,5.0,8117.68,175.24,113.79,147.34,59.13,668.24,776.67,31.92
33,2020-12-28,5.0,6515.5,148.42,119.27,105.86,101.09,434.03,523.81,64.34
34,2020-12-29,5.0,3044.13,37.55,102.82,125.89,66.76,231.23,287.35,32.93
35,2020-12-30,5.0,5287.17,79.57,137.09,137.33,72.48,390.95,500.22,47.12
36,2020-12-31,5.0,10894.78,271.8,154.91,150.2,118.26,791.15,983.47,84.1
37,2021-01-01,5.0,12496.95,321.87,202.89,40.41,564.58,999.18,1148.95,114.5
38,2021-01-02,5.0,3070.83,17.43,105.56,95.84,90.6,351.93,380.72,22.29
39,2021-01-03,5.0,1548.77,7.26,55.52,101.57,40.53,230.5,242.23,9.37
40,2021-01-04,5.0,8224.49,211.0,111.04,45.06,85.83,444.29,543.03,30.91
41,2021-01-05,5.0,2723.69,54.09,90.48,30.76,125.89,201.34,215.43,16.72
42,2021-01-06,5.0,16448.97,457.76,165.88,62.94,339.51,1161.25,1433.23,239.13
43,2021-01-07,5.0,8010.86,218.15,95.96,61.51,77.25,575.41,711.47,43.57
44,2021-01-08,5.0,6835.94,150.2,106.93,61.51,143.05,543.48,677.72,36.99
45,2021-01-09,5.0,2082.82,12.52,65.8,103.0,57.7,205.89,238.6,16.72
46,2021-01-10,5.0,1602.17,7.6,54.84,154.5,48.16,165.41,185.78,21.28
47,2021-01-11,5.0,2002.72,6.87,74.71,140.19,53.41,163.76,188.8,20.27
48,2021-01-12,5.0,2723.69,41.13,94.59,150.2,60.56,237.96,281.15,26.6
49,2021-01-13,5.0,7370.0,125.17,126.12,163.08,68.67,695.28,786.99,34.96
50,2021-01-14,5.0,15594.48,343.32,271.44,103.0,362.4,1284.44,1564.34,200.63
51,2021-01-15,5.0,16021.73,329.02,394.82,185.97,518.8,1500.13,1817.21,229.0
52,2021-01-16,5.0,7904.05,193.12,113.79,110.15,85.83,936.41,1008.25,26.35
53,2021-01-17,5.0,4005.43,53.2,82.94,151.63,83.92,431.72,448.8,20.01
54,2021-01-18,5.0,8544.92,150.2,109.67,57.94,150.68,772.84,975.9,35.97
55,2021-01-19,5.0,7690.43,205.64,105.56,128.75,73.43,664.8,738.38,19.76
56,2021-01-20,5.0,1842.5,5.53,58.95,148.77,59.61,294.21,319.25,12.41
57,2021-01-21,5.0,5821.23,92.09,112.41,151.63,46.73,581.23,661.44,34.45
58,2021-01-22,5.0,11535.65,300.41,132.98,185.97,146.87,940.07,1086.88,27.11
59,2021-01-23,5.0,2643.59,14.08,79.51,170.23,49.59,444.23,474.42,21.79
60,2021-01-24,5.0,4379.27,67.95,93.22,144.48,60.08,527.43,588.99,30.91
61,2021-01-25,5.0,8651.73,187.76,134.35,143.05,99.18,577.28,738.44,57.76
62,2021-01-26,5.0,5447.39,70.63,126.12,145.91,78.2,441.77,556.48,39.52
63,2021-01-27,5.0,1588.82,0.18,42.16,22.35,23.6,188.91,216.15,5.64
64,2021-01-28,5.0,8331.3,153.78,180.96,188.83,127.79,719.71,865.61,55.22
65,2021-01-29,5.0,4005.43,54.99,87.74,161.65,70.57,376.38,443.61,30.15
66,2021-01-30,5.0,2643.59,12.85,98.71,167.37,50.55,214.26,262.6,30.65
67,2021-01-31,5.0,10894.78,180.6,172.73,158.79,181.2,898.09,1090.12,123.62
68,2021-02-01,5.0,14312.74,332.59,301.6,185.97,186.92,1285.4,1472.93,98.29
69,2021-02-02,5.0,14953.61,236.03,304.34,177.38,194.55,1143.91,1423.37,113.49
70,2021-02-03,5.0,3417.97,18.55,143.95,158.79,103.95,406.37,466.45,32.93
